"Education","Marital_Status","Kidhome","Teenhome","Recency","MntWines","MntFruits","MntMeatProducts","MntFishProducts","MntSweetProducts","MntGoldProds","NumDealsPurchases","NumWebPurchases","NumCatalogPurchases","NumStorePurchases","NumWebVisitsMonth","AcceptedCmp3","AcceptedCmp4","AcceptedCmp5","AcceptedCmp1","AcceptedCmp2","Response","Complain","Country","Income_Clean","Age"
"Graduation","Married",0,1,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,0,"AUS",56796,55
"PhD","Widow",0,1,24,953,0,71,0,0,174,6,10,5,10,8,0,0,0,0,0,1,0,"SA",52278,61
"PhD","Widow",0,1,24,953,0,71,0,0,174,6,10,5,10,8,0,0,0,0,0,0,0,"SP",52278,61
"2n Cycle","Married",0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,1,0,"AUS",7500,28
"Master","Married",1,1,24,8,0,8,0,0,2,1,1,0,2,8,0,0,0,0,0,0,0,"SP",33444,72
"Graduation","Married",1,0,24,18,3,17,3,0,4,1,2,0,3,9,0,0,0,0,0,0,0,"AUS",20895,51
"Master","Together",1,0,24,37,5,56,12,8,5,2,3,0,4,7,0,0,0,0,0,0,0,"GER",37509,48
"Master","Married",1,0,24,163,0,480,0,126,75,1,6,5,8,9,0,1,1,1,0,1,0,"SP",88097,46
"Graduation","Married",1,1,25,69,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0,0,"SA",59041,51
"Graduation","Single",0,0,25,56,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,0,"IND",43322,50
"PhD","Together",1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,"SA",46015,69
"PhD","Together",1,1,25,38,0,2,0,0,6,1,1,0,3,7,1,0,0,0,1,0,0,"CA",46015,69
"Master","Married",0,1,25,8,2,4,0,0,1,1,0,0,3,5,0,0,0,0,0,0,0,"SP",34242,65
"Graduation","Married",0,1,25,626,0,70,0,7,28,2,9,3,8,6,0,1,0,1,0,0,0,"CA",65210,69
"PhD","Widow",0,1,25,112,0,6,2,1,14,2,3,1,3,6,0,0,0,0,0,0,0,"SP",50520,66
"Graduation","Married",0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,"CA",90765,54
"Graduation","Married",0,0,25,507,93,520,242,40,26,1,5,10,5,1,0,0,0,1,0,1,0,"AUS",80589,80
"Master","Married",1,1,25,35,1,16,0,1,1,2,2,0,3,7,0,0,0,0,0,0,0,"CA",49572,66
"Graduation","Together",0,0,25,795,0,545,95,58,0,1,8,4,10,6,0,0,0,1,0,0,0,"SP",75437,46
"Master","Divorced",1,1,25,56,0,9,0,0,3,2,2,0,3,7,0,0,0,0,0,0,0,"SP",44635,53
"Graduation","Married",0,1,25,895,10,101,13,0,152,5,3,4,8,8,0,0,0,0,0,0,0,"GER",58512,60
"PhD","Single",0,1,25,899,0,101,0,0,20,1,6,6,13,4,0,0,0,1,0,0,0,"SP",62000,72
"Graduation","Single",1,1,25,178,4,26,8,4,44,5,4,1,5,6,0,0,0,0,0,0,0,"AUS",54252,68
"PhD","Together",0,1,25,14,0,3,0,0,3,1,1,0,2,7,0,0,0,0,0,0,0,"SP",45068,50
"Graduation","Single",0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,"IND",60474,45
"Graduation","Single",0,1,25,265,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,"CA",60474,45
"2n Cycle","Married",1,1,25,349,16,144,28,5,182,5,8,5,4,8,1,0,0,1,0,1,0,"SP",56337,43
"Graduation","Together",1,0,25,4,12,11,3,13,15,2,2,0,3,8,0,0,0,0,0,0,0,"SP",22434,37
"Graduation","Together",0,0,25,848,154,323,201,61,78,1,10,3,10,6,1,0,0,0,0,0,0,"US",61416,42
"Master","Married",0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,1,0,"SP",92163,49
"Master","Together",0,1,25,962,12,194,16,24,12,4,7,8,13,6,0,0,1,0,0,0,0,"SP",58656,68
"Basic","Single",1,0,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,0,"SP",8940,38
"Graduation","Married",2,0,26,1,1,5,0,3,1,1,1,0,2,8,0,0,0,0,0,0,0,"SP",26751,50
"Graduation","Married",2,0,26,212,123,177,15,64,23,2,8,2,8,4,0,0,0,0,0,0,0,"US",71427,46
"Graduation","Together",1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,"US",26646,40
"Graduation","Divorced",1,0,26,2,0,9,3,6,2,1,1,0,3,8,0,0,0,0,0,0,0,"CA",19346,50
"Graduation","Single",1,2,26,347,0,35,4,3,7,6,4,2,8,5,0,0,0,0,0,0,0,"US",56243,49
"PhD","Married",0,1,26,73,0,13,0,1,0,1,2,1,3,3,0,0,0,0,0,0,0,"CA",59892,54
"Graduation","Together",0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,"US",71613,59
"Graduation","Married",1,0,26,1,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,"AUS",25252,38
"Graduation","Single",1,1,26,48,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,1,0,"SP",42160,49
"Basic","Single",1,0,26,1,1,4,11,9,10,1,1,0,3,8,0,0,0,0,0,0,0,"SP",15862,45
"Master","Married",0,0,26,1076,68,103,29,91,68,1,3,4,8,1,0,1,1,0,0,1,0,"SP",82584,50
"Graduation","Married",1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,"AUS",38360,35
"PhD","Married",1,2,26,733,9,180,12,19,66,11,6,3,5,4,0,0,0,0,0,0,0,"SA",75283,67
"Master","Together",1,1,26,39,2,25,4,3,24,2,3,0,3,8,0,0,0,0,0,0,0,"AUS",34941,68
"Graduation","Single",0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,"AUS",61823,72
"Master","Married",0,0,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,0,"SA",90226,68
"Graduation","Married",0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,"SP",44989,50
"Graduation","Married",0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,"SP",44989,50
"Graduation","Married",0,1,26,99,2,11,4,0,16,3,3,0,4,8,0,0,0,0,0,0,0,"GER",43586,44
"Graduation","Single",1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,1,0,"SP",32233,50
"Graduation","Together",0,1,26,509,133,497,78,24,97,2,7,5,6,4,0,0,0,0,0,0,0,"AUS",62882,55
"Master","Together",0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,"CA",57288,61
"2n Cycle","Together",1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,"SA",75774,43
"2n Cycle","Together",1,0,27,340,21,134,258,14,56,1,7,5,8,4,0,0,0,0,0,0,0,"SP",75774,43
"Master","Single",0,0,27,1184,32,352,21,16,16,1,3,4,7,1,0,1,1,1,0,1,0,"US",90247,36
"2n Cycle","Single",0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,1,0,"SP",32218,64
"Graduation","Married",0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,"SA",84219,36
"Graduation","Married",0,0,27,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,"CA",84219,36
"Graduation","Divorced",0,1,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0,"SP",48877,58
"Graduation","Together",0,1,27,208,17,76,36,17,38,2,3,3,7,2,0,0,0,0,0,0,0,"US",60905,74
"Graduation","Married",0,1,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,0,"SP",75236,60
"Graduation","Divorced",0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,"IND",62551,71
"PhD","Together",0,0,27,1308,0,396,23,0,0,1,5,7,4,3,0,1,0,0,1,0,0,"IND",70123,41
"Graduation","Single",1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,"CA",50785,62
"2n Cycle","Married",0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,"SP",15315,54
"2n Cycle","Married",0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,"SP",15315,54
"PhD","Together",0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,"SP",64413,54
"PhD","Married",0,0,27,1001,44,107,58,44,44,1,6,7,11,2,1,0,1,0,0,0,0,"SP",87171,43
"Graduation","Single",0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,"SP",30081,63
"Graduation","Single",0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,"SP",20180,48
"Graduation","Single",0,0,27,18,42,24,15,20,18,1,2,1,4,7,0,0,0,0,0,0,0,"SP",20180,48
"Graduation","Divorced",0,1,27,673,0,199,37,47,26,2,6,3,5,4,1,0,0,0,0,0,0,"SP",55686,58
"2n Cycle","Married",0,1,27,6,7,4,3,4,6,1,1,0,3,6,0,0,0,0,0,0,0,"SP",26887,65
"PhD","Married",0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,1,0,"SP",61996,47
"Graduation","Divorced",0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,"SA",51537,72
"Graduation","Together",0,0,27,833,33,549,151,133,233,1,4,3,8,3,0,0,0,0,0,0,0,"SP",72025,62
"Master","Together",1,0,27,284,0,52,8,3,20,4,9,0,4,10,0,0,0,0,0,0,0,"SP",30538,53
"2n Cycle","Single",0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0,"IND",61618,33
"Graduation","Married",0,0,28,227,151,573,98,54,31,1,3,4,9,1,0,0,0,0,0,0,0,"CA",77343,59
"Graduation","Married",1,0,28,800,0,297,0,34,57,2,2,5,10,6,0,1,0,1,0,0,0,"SP",75433,35
"PhD","Widow",0,0,28,861,31,558,62,95,79,0,6,5,13,2,0,0,1,0,0,0,0,"SP",82571,62
"Master","Together",0,1,28,62,1,57,19,11,48,2,2,1,5,2,0,0,0,0,0,0,0,"SP",60033,70
"Graduation","Single",1,0,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,0,"SP",39062,41
"Graduation","Married",1,0,28,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,"SP",30023,52
"Graduation","Single",1,0,28,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,"SP",30015,54
"Graduation","Married",1,0,28,22,2,31,7,4,5,1,2,0,3,7,0,0,0,0,0,0,0,"SP",33228,44
"Graduation","Married",2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,"SP",22574,57
"Graduation","Married",2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,"SP",22574,57
"Graduation","Married",0,1,28,161,28,136,32,3,45,4,3,4,6,3,0,0,0,0,0,0,0,"CA",55267,67
"Graduation","Together",0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,"SP",66886,66
"Graduation","Single",0,1,28,522,0,522,227,120,134,2,6,9,5,2,0,0,0,0,0,0,0,"CA",72258,53
"PhD","Single",0,0,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,1,0,"SP",82733,40
"Graduation","Divorced",1,1,28,33,0,5,0,0,15,2,1,1,2,4,0,0,0,0,0,0,0,"IND",45146,61
"2n Cycle","Single",1,0,28,342,32,230,34,32,40,5,10,5,4,9,1,0,0,0,0,0,0,"SA",51250,34
"Graduation","Married",1,1,28,22,2,12,0,2,5,1,1,0,3,4,0,0,0,0,0,0,0,"US",32871,73
"2n Cycle","Together",0,0,28,359,35,314,93,116,89,1,7,3,13,4,0,0,0,0,0,0,0,"GER",63855,46
"PhD","Divorced",0,1,28,324,48,186,39,18,198,6,6,8,4,7,1,0,0,0,0,1,0,"CA",42564,56
"2n Cycle","Together",0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,"CA",46344,52
"Graduation","Married",0,2,28,370,9,92,6,9,4,3,7,1,8,7,0,0,0,0,0,0,0,"SP",50437,61
"Graduation","Together",0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,1,0,"SP",70971,64
"Graduation","Single",2,0,28,173,8,107,7,2,176,4,7,2,3,9,1,0,0,0,0,1,1,"SP",37774,47
"PhD","Married",1,1,29,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,0,"SP",4023,61
"Graduation","Single",0,0,29,10,3,3,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,"SP",33279,58
"Graduation","Married",1,0,29,8,4,20,6,3,16,1,1,0,3,5,0,0,0,0,0,0,0,"SP",42693,46
"Master","Together",0,1,29,138,39,63,55,18,21,1,4,1,7,2,0,0,0,0,0,0,0,"AUS",70545,72
"Graduation","Widow",0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,"AUS",65486,67
"Master","Together",0,0,29,68,129,396,188,22,15,1,3,3,5,1,0,0,0,0,0,0,0,"SA",77882,43
"Graduation","Together",0,0,29,434,22,388,104,22,34,1,10,7,10,4,0,0,0,1,0,0,0,"US",78468,64
"Graduation","Together",0,1,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0,"SP",77226,61
"Master","Single",0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,0,0,"SP",90638,33
"Master","Single",0,0,29,1156,120,915,94,144,96,1,3,4,10,1,0,0,1,0,0,1,0,"SA",90638,33
"Graduation","Together",0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,"AUS",70666,76
"2n Cycle","Divorced",0,1,29,230,35,75,63,57,31,3,7,1,7,5,0,0,0,0,0,0,0,"SA",59052,65
"Basic","Together",0,0,29,2,0,7,3,7,10,1,1,0,3,6,0,0,0,0,0,0,0,"US",13084,72
"Graduation","Divorced",0,1,29,122,21,43,25,10,15,2,3,1,6,6,0,0,0,0,0,0,0,"SP",49160,75
"Graduation","Divorced",0,0,29,19,3,6,4,2,12,1,1,0,3,4,0,0,0,0,0,0,0,"SP",23272,71
"Master","Divorced",0,1,29,386,23,95,54,41,196,4,2,11,5,2,0,0,0,0,0,0,0,"CA",49476,61
"Master","Married",1,1,29,379,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,0,"SP",62694,59
"PhD","Together",0,1,29,243,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,"IND",57906,51
"Graduation","Together",0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,"SP",71853,42
"Graduation","Together",0,0,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,"SP",71853,42
"Graduation","Married",0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,"GER",65031,65
"Graduation","Together",0,0,29,65,36,74,38,20,110,1,5,1,4,7,0,0,0,0,0,0,0,"SP",30507,64
"Graduation","Together",0,1,29,846,84,352,91,56,42,4,9,4,8,5,0,0,0,0,0,0,0,"CA",67419,54
"Graduation","Married",0,1,29,724,17,143,0,8,196,2,9,2,12,7,0,0,0,0,0,0,0,"US",59462,74
"Graduation","Single",0,0,29,770,29,890,250,27,24,1,7,3,7,3,0,0,1,0,0,1,0,"SA",95529,30
"Graduation","Widow",0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,"SP",53653,71
"Basic","Married",0,0,29,2,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,"SP",25965,44
"Graduation","Married",1,0,29,16,17,19,20,21,22,3,3,2,2,8,0,0,0,0,0,1,0,"SP",22979,54
"PhD","Single",0,1,29,819,0,72,12,0,63,2,11,2,10,7,0,1,0,0,0,0,0,"SA",64950,73
"Graduation","Married",1,0,30,46,0,40,3,0,3,2,3,0,3,8,0,0,0,0,0,0,0,"SA",44322,39
"Graduation","Married",1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,"GER",30096,41
"Graduation","Married",1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,"SP",30096,41
"Graduation","Single",0,1,30,479,5,82,7,17,171,2,7,6,5,5,1,0,0,0,0,0,0,"CA",56628,47
"2n Cycle","Together",0,0,30,938,142,754,159,81,183,1,5,10,6,2,0,1,1,1,0,1,0,"SP",82326,47
"Graduation","Single",0,0,30,283,17,372,138,106,44,1,3,8,12,1,0,0,0,0,0,0,0,"GER",71163,29
"Graduation","Divorced",0,1,30,909,12,278,0,12,242,3,5,2,11,8,1,0,0,0,0,0,0,"US",71022,46
"2n Cycle","Single",0,1,30,156,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,"SA",42607,70
"Graduation","Married",0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,"SP",43057,49
"Master","Married",0,1,30,123,1,26,2,0,72,2,3,2,3,7,1,0,0,0,0,0,0,"SP",47808,49
"Graduation","Single",1,0,30,37,4,24,16,9,9,2,4,0,3,9,0,0,0,0,0,0,0,"SP",29236,37
"Graduation","Widow",1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,0,"CA",40590,55
"Graduation","Widow",1,1,30,154,0,50,6,11,37,5,3,4,3,6,1,0,0,0,0,0,0,"CA",40590,55
"Master","Married",0,1,30,940,44,396,0,88,58,1,8,7,7,4,1,0,1,1,0,1,0,"SP",77520,65
"Graduation","Married",1,1,30,51,1,7,2,1,25,2,2,1,2,8,1,0,0,0,0,0,0,"SP",40211,43
"PhD","Together",1,1,30,141,11,114,15,14,5,4,4,1,7,5,0,0,0,0,0,0,0,"CA",63516,51
"Graduation","Divorced",1,1,30,160,15,196,15,11,50,8,6,1,7,8,0,0,0,0,0,0,0,"US",53034,50
"Master","Together",1,0,30,16,14,36,37,22,48,3,4,1,2,9,0,0,0,0,0,1,0,"SP",22669,49
"Graduation","Married",0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,"SP",79908,42
"PhD","Single",0,0,30,196,0,512,33,130,54,1,3,5,8,1,0,0,0,1,0,1,0,"SA",69867,38
"Graduation","Divorced",0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,1,0,"AUS",70287,58
"Graduation","Single",1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,"SA",37070,58
"Graduation","Single",1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,1,0,"SP",37070,58
"Master","Married",1,1,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,0,"SA",38179,58
"Graduation","Married",1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,"IND",39922,41
"Graduation","Married",1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,"GER",39922,41
"Graduation","Married",1,0,30,29,12,59,19,1,36,2,3,0,4,8,0,0,0,0,0,0,0,"SA",39922,41
"Master","Single",0,1,30,420,15,186,151,38,15,3,5,3,13,3,0,0,0,0,0,0,0,"SP",64191,61
"2n Cycle","Single",1,1,30,8,4,12,15,4,29,2,1,1,2,4,0,0,0,0,0,0,0,"AUS",41658,49
"Graduation","Divorced",0,1,30,229,27,71,13,3,34,4,7,1,5,9,0,0,0,0,0,0,0,"CA",40780,48
"Graduation","Together",0,1,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,0,"SP",77568,45
"Graduation","Single",1,0,30,91,64,128,65,3,50,2,4,3,6,3,0,0,0,0,0,0,0,"SP",66503,39
"Graduation","Married",0,0,31,1060,61,835,80,20,101,1,4,7,10,1,1,0,1,1,1,1,0,"SP",83512,38
"PhD","Married",1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,"SA",31686,60
"Graduation","Together",0,1,31,121,24,124,24,15,42,1,4,1,7,2,0,0,0,0,0,0,0,"AUS",71322,48
"Graduation","Single",1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,"AUS",27938,36
"Graduation","Divorced",1,1,31,17,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,0,1,"SP",22263,73
"Graduation","Together",2,1,31,8,1,5,0,0,1,1,1,0,2,6,0,0,0,0,0,0,0,"SA",34633,68
"Graduation","Together",1,0,31,46,7,59,2,4,27,2,3,1,3,6,1,0,0,0,0,1,0,"SP",42162,43
"PhD","Together",1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,"SP",162397,48
"Graduation","Widow",1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,"SP",54162,46
"2n Cycle","Divorced",0,1,31,302,29,131,32,0,27,6,8,1,7,8,0,0,0,0,0,0,0,"IND",41769,69
"PhD","Together",0,0,31,728,17,133,11,8,124,1,7,3,13,6,1,0,0,0,0,0,0,"GER",44953,43
"PhD","Married",1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,"SA",37717,46
"PhD","Married",1,0,31,9,0,6,4,1,5,1,1,0,2,9,0,0,0,0,0,0,0,"SP",37717,46
"Graduation","Together",0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,"AUS",40548,54
"2n Cycle","Divorced",0,1,31,711,28,142,49,18,47,2,3,2,9,8,0,0,0,0,0,0,0,"SA",67893,49
"Graduation","Single",0,0,31,778,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,0,"SA",69267,71
"Basic","Divorced",1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,"CA",9548,48
"Graduation","Single",0,0,31,995,112,417,42,48,41,1,2,9,13,5,0,0,0,0,0,1,0,"SP",68281,66
"2n Cycle","Together",0,0,32,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,"SP",92556,64
"Graduation","Single",1,0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0,"SP",48526,45
"Graduation","Single",0,0,32,704,129,853,120,74,111,1,5,6,7,2,0,1,1,1,0,1,0,"SP",90273,33
"2n Cycle","Together",1,0,32,2,3,12,3,5,7,1,1,0,3,8,0,0,0,0,0,0,0,"CA",19414,43
"PhD","Single",0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,"SA",79761,66
"PhD","Married",0,0,32,241,0,12,0,0,25,1,5,1,5,7,0,0,0,0,0,0,0,"SP",53312,73
"2n Cycle","Together",0,0,32,34,11,137,179,61,45,1,8,1,5,8,0,0,0,0,0,0,0,"US",41039,42
"Graduation","Together",0,0,32,1050,178,555,77,138,118,1,4,7,9,1,0,0,0,1,0,0,0,"SP",88347,63
"PhD","Married",0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,"CA",50150,41
"PhD","Married",0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,"SP",50150,41
"Graduation","Single",1,0,32,4,7,7,6,4,13,3,1,2,2,5,0,0,0,0,0,0,0,"SP",10245,53
"PhD","Married",1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,"US",33454,39
"Graduation","Single",1,1,32,50,4,44,10,10,43,3,3,1,3,9,0,0,0,0,0,1,0,"SP",40887,72
"Graduation","Together",0,1,32,384,60,364,119,101,232,4,11,6,8,7,0,0,0,0,0,0,0,"US",55914,49
"Graduation","Together",1,0,32,275,0,86,10,23,66,5,6,3,5,8,0,0,0,0,0,0,0,"SP",37292,41
"Graduation","Married",0,1,32,254,10,44,30,10,227,2,7,3,3,7,1,0,0,0,0,0,0,"CA",52914,53
"2n Cycle","Married",1,0,32,3,6,7,0,0,3,1,0,0,3,7,0,0,0,0,0,0,0,"SP",24884,52
"Graduation","Single",0,1,32,957,40,175,158,53,107,2,7,8,5,5,0,1,0,0,0,0,0,"SP",67384,54
"Graduation","Married",0,1,32,293,6,23,13,6,92,4,6,2,5,8,0,0,0,0,0,0,0,"AUS",51651,64
"Graduation","Married",0,0,32,777,129,573,216,21,203,1,2,7,9,4,0,0,1,0,0,0,0,"SA",82497,44
"2n Cycle","Married",0,0,32,63,151,137,153,19,53,2,4,4,8,5,0,0,0,0,0,0,0,"SP",32632,61
"Master","Married",1,2,33,21,12,12,0,3,3,3,2,0,4,4,0,0,0,0,0,0,0,"IND",33562,61
"Graduation","Single",1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,"GER",79146,57
"Graduation","Single",1,1,33,245,16,223,21,43,16,2,8,1,8,6,0,0,0,0,0,0,0,"SP",79146,57
"Master","Single",1,0,33,12,0,1,0,0,6,1,0,1,2,3,0,0,0,0,0,0,0,"SP",36143,43
"Master","Married",1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,"SP",27159,51
"Master","Together",1,2,33,24,4,22,0,2,9,4,3,1,3,5,0,0,0,0,0,0,0,"CA",41275,64
"2n Cycle","Married",0,0,33,173,26,255,35,71,81,1,4,4,7,1,0,0,0,0,0,0,0,"IND",76800,59
"Graduation","Married",0,0,33,754,160,625,63,32,48,1,7,5,12,3,0,0,0,1,0,0,0,"SA",75794,37
"Graduation","Married",1,1,33,11,0,7,3,1,6,2,1,0,3,5,0,0,0,0,0,0,0,"SP",30833,73
"PhD","Single",1,1,33,20,1,28,3,3,2,3,2,0,3,8,0,0,0,0,0,1,0,"US",26518,75
"Graduation","Single",0,0,33,822,114,108,179,137,114,1,7,9,9,3,0,0,1,1,0,1,0,"SP",91065,43
"Master","Single",0,0,33,219,3,60,12,9,12,1,4,1,7,7,0,1,0,0,0,0,0,"CA",45183,62
"Graduation","Together",0,1,33,373,14,83,6,9,19,3,8,2,6,7,0,0,0,0,0,0,1,"SP",48070,74
"Graduation","Widow",1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,"SP",30372,53
"Graduation","Widow",1,1,33,15,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,"SP",30372,53
"2n Cycle","Married",0,1,33,1171,43,219,19,14,47,4,6,3,13,9,1,0,0,0,0,0,0,"IND",57036,49
"Graduation","Widow",0,1,33,371,159,194,58,106,141,4,4,3,6,3,0,0,0,0,0,0,0,"SP",66731,54
"PhD","Divorced",1,0,34,23,0,8,6,2,18,1,1,1,3,2,0,0,0,0,0,0,0,"AUS",35682,54
"Master","Divorced",0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,"AUS",10979,35
"Master","Divorced",0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,"SP",10979,35
"PhD","Divorced",0,1,34,801,0,80,0,0,35,5,8,3,12,5,0,1,0,0,0,0,0,"SA",57912,59
"Graduation","Married",2,1,34,20,4,10,6,4,17,2,2,0,3,6,0,0,0,0,0,0,0,"AUS",36026,52
"Graduation","Married",1,1,34,23,2,11,3,1,4,2,2,0,3,6,0,0,0,0,0,0,0,"CA",35788,53
"Graduation","Married",1,1,34,48,0,2,0,0,5,2,2,0,3,7,0,0,0,0,0,0,0,"SA",42243,65
"Graduation","Divorced",0,1,34,244,8,32,7,2,50,4,3,1,8,4,0,0,0,0,0,0,0,"SP",46086,68
"Master","Together",1,0,34,562,58,168,43,16,142,1,5,7,10,3,0,0,0,0,0,0,0,"IND",61346,46
